,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
94,3770535411,Шлиссельбург - Всеволожск холодно и ветрено,2020-07-16T13:44:04Z,Ride,25791.6,4837,6673,71.9,"[60.018858, 30.678923]",4843CB42-1C8D-4BCB-8459-2A5518B2F6B4-activity.fit
95,3757879748,Ночной велозаезд до Коломенской по набережной,2020-07-13T22:43:39Z,Ride,14623.3,3063,3408,21.0,"[55.677858, 37.663244]",A17170B3-334B-4D9E-BC83-8D2F8DD32C5F-activity.fit
96,3756796077,Дневной велозаезд от Воробьевых гор по бульварному,2020-07-13T16:24:24Z,Ride,20126.8,4593,12802,112.4,"[55.762058, 37.628205]",1838D2C0-B836-4DA0-BD3B-60C6FB0291F4-activity.fit
97,3755462981,Утренний велозаезд по Кутузовскому до Мясницкой,2020-07-13T09:01:02Z,Ride,9838.0,2334,20436,76.1,"[55.762273, 37.633909]",5A91FFCF-C5D7-4163-AE0A-6D66F19D212D-activity.fit
98,3752142718,Калуга - Серпухов,2020-07-12T10:31:48Z,Ride,120121.0,21224,30526,1131.5,"[54.94519, 37.451725]",981C37AC-CBFB-4B88-9E55-97F565880DF3-activity.fit
99,3748021094,Мск,2020-07-11T19:56:54Z,Ride,55106.3,10648,16794,263.6,"[55.637437, 37.698269]",CFE45EA3-44E9-402F-BC0D-926392EEB258-activity.fit
100,3742155519,Мск,2020-07-10T10:33:24Z,Ride,42032.0,10092,36688,167.5,"[55.637401, 37.697459]",BD62C907-38DA-483A-BFB5-19252C1F2C60-activity.fit
101,3738400229,Дневной велозаезд до Кремля и обратно по набережной,2020-07-09T15:38:04Z,Ride,32378.7,6640,29769,143.2,"[55.679222, 37.663489]",125CBA5D-E220-43E8-BF6D-398703D7AFAB-activity.fit
102,3733256698,Владимир - Нерль - Суздаль,2020-07-08T11:24:17Z,Ride,120235.0,24744,37990,938.6,"[56.129298, 40.41898]",AF8D354C-F4BF-40C4-82BC-37BE450FA844-activity.fit
103,3728971152,Утренний велозаезд на МЦК по набережным по Москве и обратно,2020-07-07T10:35:57Z,Ride,38349.1,9131,47781,201.5,"[55.637966, 37.698437]",3445AF9C-69EC-4CE1-82E4-AC17EBB459FA-activity.fit
104,3722057230,Коломна - Зарайск - Белопесоцкий,2020-07-06T08:49:08Z,Ride,101973.0,20038,31663,692.1,"[54.871347, 38.14714]",073E5B1B-FBA8-4AB4-B863-7CBC5CE46FB4-activity.fit
105,3706985840,Обнинск - Можайск,2020-07-03T07:01:45Z,Ride,115584.0,20644,30239,975.3,"[55.511628, 36.220618]",85B526BF-33F4-44C2-B34E-E8CCDFB2523D-activity.fit
106,3705555567,Утренний велозаезд до Киевского вокзала очень быстро успеть на экспресс,2020-07-03T04:17:00Z,Ride,17570.8,2638,3024,103.2,"[55.741807, 37.56071]",B142AA76-575E-41A4-BB60-5BE89FEF2418-activity.fit
107,3694523943,Мск,2020-06-30T18:32:53Z,Ride,41120.2,10580,13869,165.4,"[55.638217, 37.701212]",FA05B00F-459A-4CE9-9E9C-4BCE5B2F3E00-activity.fit
108,3690064523,Вечерний велозаезд до Кремля и вокруг и обратно ,2020-06-29T18:29:59Z,Ride,37506.1,7945,20944,193.9,"[55.637489, 37.699001]",49AAD1D4-52E4-454A-AED5-48B8D8A1271A-activity.fit
109,3685690136,Мск,2020-06-28T19:15:03Z,Ride,71113.8,12165,14379,223.4,"[55.637509, 37.700254]",97E83061-A3C6-4802-AB26-7A16334511BF-activity.fit
110,3680598736,По Москве,2020-06-27T19:24:22Z,Ride,81108.6,14626,19978,359.1,"[55.63741, 37.698889]",07F1FDE0-E027-4D45-876C-F31F84A3FCE4-activity.fit
111,3670616213,Вечерний велозаезд до Кремля и обратно по набережной,2020-06-25T18:23:56Z,Ride,35701.0,7573,14102,163.1,"[55.637769, 37.698244]",A89C027D-5FAF-4993-B255-B2C9A7D4A2B2-activity.fit
112,3665478738,Вечерний велозаезд до центра и обратно по набережным,2020-06-24T18:08:24Z,Ride,36100.3,7712,13078,189.6,"[55.63736, 37.699586]",D6193209-5643-43E1-896E-AD6795A2E040-activity.fit
113,3659064173,Мск,2020-06-23T09:16:18Z,Ride,65377.5,13653,30842,409.0,"[55.636794, 37.697294]",3B86466F-CB8C-4705-8C90-4CD83783BCC4-activity.fit
114,3655276534,Вечерний велозаезд по набережным домой,2020-06-22T19:40:44Z,Ride,21209.9,4666,9798,89.9,"[55.637766, 37.70072]",4ED94F1C-52D9-4B31-B6E9-0C383FBE9172-activity.fit
115,3654295386,Вечерний велозаезд по шоссе домой,2020-06-22T18:55:25Z,Ride,15135.4,2149,2240,80.0,"[55.748794, 37.624829]",96B9C263-6BDC-4474-9BA4-0EBAAD2CBBBA-activity.fit
116,3651104595,Мск,2020-06-21T19:22:45Z,Ride,67937.9,12399,15484,382.9,"[55.637254, 37.699033]",0233C5C1-A769-4CA3-A057-8F9DC6C3C37B-activity.fit
117,3645360452,Вечерний велозаезд в магазин и заехать в вкусил в орехово за пирожным,2020-06-20T20:44:59Z,Ride,16441.8,3785,7029,114.0,"[55.636672, 37.697404]",1BCAE6EA-8522-43F9-A522-9E1EB9E5A4AE-activity.fit
118,3639971680,Ночной велозаезд по набережным домой,2020-06-19T21:21:11Z,Ride,19108.2,5374,6067,71.7,"[55.642294, 37.681614]",78FFDA78-057C-4CBA-9421-4AC746A63FE7-activity.fit
119,3633873384,Торжок - Тверь,2020-06-18T09:55:45Z,Ride,100505.0,19095,27635,496.7,"[56.835596, 35.894]",0107DEC9-246D-4657-BFBC-8223167815FD-activity.fit
120,3630665068,Мск,2020-06-17T18:48:11Z,Ride,40473.6,9280,13809,170.3,"[55.639198, 37.702415]",1D9AF17B-10F9-4B70-A514-A29958BD3469-activity.fit
121,3625656871,Дневной велозаезд до Воробьевых гор и потом по набережным,2020-06-16T15:22:35Z,Ride,26046.3,6355,20750,170.8,"[55.761699, 37.63458]",84DA2141-2E0C-4A66-9E9C-764CC8B1258F-activity.fit
122,3620514028,Мск,2020-06-15T18:59:31Z,Ride,40282.8,9761,16412,190.8,"[55.637124, 37.697994]",6D1D283E-7547-4D6D-843F-64029D737966-activity.fit
123,3613952935,Ясногорс - Алексин - Серпухов,2020-06-14T10:17:49Z,Ride,124077.0,21983,26163,1011.7,"[54.936572, 37.45172]",F3268995-58BC-4015-9C7A-6FEA9BCAD699-activity.fit
124,3600474836,Мск,2020-06-11T21:17:34Z,Ride,60425.4,12535,19169,298.4,"[55.636551, 37.697961]",9F388BC8-66D9-4C51-8FF3-9C9BFF6C6637-activity.fit
125,3594976090,Мск,2020-06-10T19:55:00Z,Ride,51752.7,11670,13594,208.9,"[55.640263, 37.692093]",F260928C-845D-4895-9F80-50F8732BD493-activity.fit
126,3590729874,Msk,2020-06-09T19:44:09Z,Ride,68581.0,13161,26481,226.2,"[55.638412, 37.694884]",7AF3532D-3513-4E03-9BA0-5746F4583A4C-activity.fit
127,3585016603,Мск,2020-06-08T19:52:36Z,Ride,74816.2,14706,17275,291.9,"[55.640635, 37.686259]",D76A6DFD-BA22-41CE-8CDE-EAA1E98CB634-activity.fit
128,3580099181,Мск,2020-06-07T17:46:25Z,Ride,51166.8,9590,16019,277.1,"[55.637513, 37.698244]",CDA2F7F7-B4DC-4A60-8E51-3A63D7B2D172-activity.fit
129,3564993976,Ночной велозаезд в Твой дом ,2020-06-04T22:54:14Z,Ride,15696.6,3937,6837,110.8,"[55.634978, 37.700952]",8FADF60D-0EB1-4FDC-8AB0-68D06264AE78-activity.fit
130,3559405091,Вечерний велозаезд по набережным,2020-06-03T18:01:30Z,Ride,23574.2,5853,11943,130.3,"[55.758995, 37.660031]",A25DBC72-B0D7-44C4-871E-C35A00F12128-activity.fit
131,3554679608,Вечерний велозаезд по Москве и набережным,2020-06-02T19:34:55Z,Ride,38794.1,9704,12506,225.1,"[55.638464, 37.696454]",C1EDD476-B328-4D89-BE7F-67A0F086938B-activity.fit
132,3545202822,Ночной велозаезд по Шипиловской,2020-05-31T22:21:50Z,Ride,10072.2,2194,36756,71.5,"[55.637222, 37.698079]",50E4393A-48D3-45DD-BB76-D2DCC3E6FC38-activity.fit
133,3537679789,Мск,2020-05-30T15:48:18Z,Ride,73363.9,13944,20376,297.8,"[55.63745, 37.697602]",0328E25C-5513-43F0-B80F-152678814AF7-activity.fit
134,3526268093,Дубна - Икша,2020-05-28T12:11:43Z,Ride,102916.0,20093,27398,510.2,"[56.173043, 37.510416]",5B5AEDCF-0DD4-4A27-8EC8-57424F94EB8B-activity.fit
135,3514491333,По Ильинском и Рублевскому шоссе,2020-05-26T06:26:37Z,Ride,133109.0,25432,39223,770.1,"[55.637761, 37.70041]",E4E9D0A5-CB0F-41DC-A6DE-71D785978037-activity.fit
136,3506898865,Ночной велозаезд до Орехово,2020-05-25T01:13:25Z,Ride,6776.4,1493,1641,43.9,"[55.637587, 37.698081]",E7F55229-61C6-4799-9660-A0FFED861460-activity.fit
137,3478944273,Мск,2020-05-19T17:20:33Z,Ride,55396.4,13814,19507,225.9,"[55.637518, 37.697922]",E4CEBDF1-E5F4-4C90-B92C-7ECF846E61A3-activity.fit
138,3466964773,Дневной велозаезд до ЗИЛа потом по Южному порту в текстильщики в метро и потом до Перерыв,2020-05-17T15:05:44Z,Ride,23737.3,4849,10953,125.7,"[55.660959, 37.71623]",A9EF9D22-9B97-4DAD-B07B-48B766AE9154-activity.fit
139,3446776970,Вечерний велозаезд до ЗИЛа и обратно,2020-05-13T18:05:20Z,Ride,17105.1,3443,20977,133.1,"[55.636458, 37.697447]",8C5DA026-1BAC-479C-AA01-AA4DD9EE6555-activity.fit
140,3440407453,Дневной велозаезд до ЗИЛа и обратно,2020-05-12T16:23:53Z,Ride,22155.3,4712,13785,162.7,"[55.637574, 37.697871]",6CF479DE-9EDA-4506-8371-8A8B4D3E47D6-activity.fit
141,3435697426,Вечерний велозаезд в центр по ковидной Москве до Серпуховской и по набережной обратно,2020-05-11T18:51:05Z,Ride,36268.2,7294,9725,162.1,"[55.639208, 37.694557]",E5B78150-2A24-4254-8A53-86DAF3C33D96-activity.fit
142,3426354651,Вечерний велозаезд до мкада по Шипиловской,2020-05-09T19:56:58Z,Ride,15303.9,3041,8578,113.9,"[55.637552, 37.697836]",8C7639E8-30F3-4184-A3A6-8728E1DAAAEF-activity.fit
143,3417837360,Дневной велозаезд до мака ,2020-05-08T12:42:47Z,Ride,12417.0,2707,3236,79.7,"[55.637381, 37.697978]",9ABD919F-14CE-4484-AA06-D8EC2D3DC25D-activity.fit
144,3415639629,Мск,2020-05-07T16:38:29Z,Ride,40376.6,10212,21054,270.5,"[55.6377, 37.698021]",F5E19F65-60C3-4B17-AF2C-DB44659EDE2C-activity.fit
145,3402630869,Дневной велозаезд до магазина на ЗИЛе,2020-05-05T17:03:55Z,Ride,24917.9,4998,6724,173.3,"[55.639436, 37.69371]",D69E30B2-621D-43F6-BC59-176643385CAB-activity.fit
146,3393274650,Дневной велозаезд по набережной до Андреевского моста и обратно,2020-05-03T17:58:28Z,Ride,31307.8,8922,14154,86.8,"[55.65743, 37.653992]",389984A5-C3F1-467D-B004-367825AD5D44-activity.fit
147,3391226414,Гроза и дождь в начале мая,2020-05-03T15:38:49Z,Ride,17773.2,2841,4321,75.1,"[55.730788, 37.59363]",E315CE41-4229-404C-91D8-9100E223D80E-activity.fit
148,3387010182,По Москве,2020-05-02T16:33:10Z,Ride,81133.5,15541,17915,343.7,"[55.637454, 37.698189]",4D3608AD-AA9B-4A01-BC36-6011853FE52F-activity.fit
149,3375726558,Мск,2020-04-30T16:11:13Z,Ride,50142.6,9094,10661,166.9,"[55.637102, 37.699336]",F6BF6F81-C7EF-4A53-95FA-0F85A14AA74B-activity.fit
150,3367428469,По Москве,2020-04-28T17:45:09Z,Ride,63124.1,12026,14953,206.0,"[55.638018, 37.700762]",7027D8AE-5338-45FC-918C-93103A70A35D-activity.fit
151,3358416481,По Москве,2020-04-26T16:36:29Z,Ride,85131.6,16212,20645,408.4,"[55.637144, 37.699451]",609911C4-DB35-4FA6-ADF8-2083747EE0A3-activity.fit
152,3352846279,Мск,2020-04-25T19:25:00Z,Ride,47381.1,9216,12215,298.7,"[55.638471, 37.698279]",C978AC89-4FDB-4DF5-80ED-1B549DAC8874-activity.fit
153,3299610228,Ночной велозаезд в твой дом ,2020-04-14T21:24:58Z,Ride,16086.0,3272,8097,118.7,"[55.637682, 37.698057]",D419EE42-B740-4EF8-80FA-270A2224162A-activity.fit
154,3294963616,Домой из подмосковья,2020-04-13T17:29:17Z,Ride,81307.3,14884,17142,267.3,"[55.637558, 37.698629]",53BDC844-30B7-457F-BC14-C9DD1BC638F1-activity.fit
155,3293679551,Дневной велозаезд,2020-04-13T17:05:01Z,Ride,6285.2,1230,1435,53.6,"[55.58908, 37.727684]",785B1A85-84D6-4C9B-8D0C-C21AF4BFCE28-activity.fit
156,3291032986,Вечерний велозаезд до совхоза в твой дом,2020-04-12T19:04:47Z,Ride,8649.1,1702,16113,69.0,"[55.636276, 37.697281]",A07645C5-3CD6-4597-98E0-AB94ABCC2C1F-activity.fit
157,3289923068,Вечерний велозаезд устал до коломенской и обратно,2020-04-10T18:31:47Z,Ride,10700.2,2202,174761,48.6,"[55.63479, 37.699849]",4CC98206-5D31-466C-BAA1-1E40CBB74D02-activity.fit
158,3276889290,Мск,2020-04-09T18:42:50Z,Ride,54711.1,10238,12047,398.8,"[55.637425, 37.698087]",FE594B46-FDD9-4F08-B25C-35D05228CB21-activity.fit
159,3268765088,"Из области в город (часть 1, не записалась) ",2020-04-08T00:10:00Z,Ride,35600.0,9000,9000,336.0,,
160,3268178196,Из области в город (часть 2),2020-04-07T20:16:32Z,Ride,22813.0,4774,6632,183.4,"[55.637475, 37.699049]",9B9BF0E5-CA9F-4C18-AB58-E98B992C1A1B-activity.fit
161,3266876760,Из города,2020-04-07T18:06:20Z,Ride,6429.8,1234,1514,60.2,"[55.585486, 37.740762]",31ED05F9-ABC0-4218-8896-CA5124BE07A9-activity.fit
162,3228481579,Мск,2020-03-28T16:37:52Z,Ride,54539.1,10770,14229,452.2,"[55.637336, 37.699157]",DE46A8C9-E1B4-4111-B6CB-154FE7C0E61B-activity.fit
163,3220537657,Мск,2020-03-26T14:53:06Z,Ride,53861.0,12844,16817,560.8,"[55.637617, 37.698358]",7D3B5327-05BA-40D1-A31B-D9DD7092E9A8-activity.fit
164,3219330439,Metro - Ашан - Оби - Ашан,2020-03-26T08:16:08Z,Ride,20125.5,4995,15684,222.1,"[55.636137, 37.697106]",85FA870C-2D53-45A8-91FA-04574E820306-activity.fit
165,3217302009,Вечерний велозаезд до магазина за штуками,2020-03-25T18:53:19Z,Ride,21386.0,4739,6403,177.2,"[55.638712, 37.697473]",C0E2AC9D-3EB1-4A9A-A5A5-5E20A3027ECE-activity.fit
166,3194809680,Дневной велозаезд до магазина на ЗИЛе и обратно,2020-03-18T17:10:27Z,Ride,25311.0,6306,11658,215.0,"[55.638402, 37.701532]",B5EDACB7-BA59-4122-A4D6-602D11BF9909-activity.fit
167,3191435423,Дневной велозаезд в мерлен и обратно,2020-03-17T17:08:05Z,Ride,23121.3,5138,7941,209.4,"[55.638245, 37.697417]",1B880BC7-7832-4E25-A327-CF06F301F3D2-activity.fit
168,3189030860,Вечерний велозаезд по шоссе домой холодно,2020-03-16T20:22:28Z,Ride,10428.4,2459,2752,70.1,"[55.638706, 37.696337]",3AE67AD5-4E63-4AFC-BDB5-A66443E9CAA3-activity.fit
169,3188463043,Дневной велозаезд по шоссе в мск,2020-03-16T16:09:35Z,Ride,10163.7,2994,3702,99.3,"[55.676158, 37.56906]",9A8CFBB1-EF46-4C51-8644-11F475590957-activity.fit
170,3169486618,Ночной велозаезд по парку вдоль пруда ,2020-03-09T23:11:16Z,Ride,7689.6,2561,2734,67.3,"[55.639007, 37.695642]",9319B355-D168-4F38-B003-AFF3360478AF-activity.fit
171,3169486647,Ночной велозаезд вдоль пруда,2020-03-06T23:56:04Z,Ride,16371.7,4809,5152,158.2,"[55.637284, 37.698019]",6829DA33-22AA-4E77-BCAA-B87B575F9E19-activity.fit
172,3060272381,Ночной велозаезд по пруду,2020-02-01T00:01:19Z,Ride,6352.0,3046,4281,57.2,"[55.637672, 37.697937]",0E749315-2255-45E4-8551-B1DCD5D7B20E-activity.fit
173,3054923512,Ночной велозаезд вдоль пруда,2020-01-29T23:49:04Z,Ride,8859.8,3401,4208,93.4,"[55.637749, 37.69812]",D2A79355-412D-4851-BD4F-58B90220D577-activity.fit
174,3052043091,Ночной велозаезд по парку до оврага,2020-01-28T23:53:20Z,Ride,6826.4,3409,4906,41.1,"[55.640297, 37.698843]",4EB8061C-EF0A-4A24-9674-0BD68B7F3CD8-activity.fit
175,3031957817,Ночной велозаезд по парку,2020-01-22T00:01:58Z,Ride,8430.9,2299,2299,89.2,"[55.635878, 37.697075]",C83833B5-54BE-4BFC-9186-FAE2AAB48959-activity.fit
176,3028852355,Ночной велозаезд по Царицынскому парку,2020-01-20T22:56:19Z,Ride,5401.8,1727,1950,53.6,"[55.639546, 37.694474]",A1BFA2CD-7E1F-4362-AF98-0D45E0D4C46D-activity.fit
177,2974716576,Вдоль канала,2020-01-02T09:40:50Z,Ride,11369.7,3870,4968,65.7,"[55.953318, 37.51125]",92F73913-A7F7-4A1D-A1E4-2DB3666DA252-activity.fit
178,2871583688,Одинцово - Переделкино - Сколково ,2019-11-17T15:13:13Z,Ride,19928.3,4851,5358,199.9,"[55.698414, 37.346212]",29C33444-B8B2-4541-9F5B-228DBE405126
179,2865968946,Сокольники - Лосиный остров 💨,2019-11-15T09:42:05Z,Ride,29275.3,6861,8718,201.3,"[55.862637, 37.682948]",1CB34228-4F40-4771-94AF-0158B428FF67
180,2862076096,Дневной велозаезд,2019-11-13T16:26:06Z,Ride,5624.0,1967,2282,36.3,"[55.745645, 37.626642]",01A7DEE4-83E7-4175-BF80-035FF18CAD6C
181,2856693945,Утренний велозаезд,2019-11-11T09:01:32Z,Ride,7001.7,1987,2102,65.2,"[55.637338, 37.699127]",E0E13C8F-565D-44A7-BB50-E2F0EC033AA8
182,2850054692,Дневной велозаезд,2019-11-08T16:55:32Z,Ride,5586.3,1716,4805,67.2,"[55.747539, 37.625588]",CE800EB4-151A-4F08-A060-42174CA6FC1D
183,2841279557,Ночной велозаезд,2019-11-04T22:57:48Z,Ride,9584.7,979,2145,45.8,"[55.693979, 37.664486]",52EBB519-32F8-451C-8F07-5984B7A211AF
184,2821569109,Дневной велозаезд,2019-10-27T16:43:51Z,Ride,6460.9,1553,6769,90.0,"[56.257146, 37.999363]",B98A6336-2FDE-4B93-A966-AEAA32B352FA
185,2818323982,Дневной велозаезд,2019-10-26T15:11:37Z,Ride,27027.0,6657,8433,236.5,"[55.740826, 37.62834]",5305241A-80EF-414C-A934-6982D3D25421
186,2798690322,Вечерний велозаезд,2019-10-18T20:10:03Z,Ride,9769.3,2499,3030,89.1,"[55.745759, 37.626566]",905B3660-D8CA-434C-88BC-6D8E3758ADA0
187,2759832356,Вербилки - Абрамцево,2019-10-03T10:51:27Z,Ride,70905.8,15837,25630,687.0,"[56.233431, 37.984424]",39F00ECD-2A63-4B6F-B351-EF4C9A90BCA7
188,2757774078,Вечерний велозаезд,2019-10-02T20:41:13Z,Ride,6510.2,1841,2053,68.9,"[55.638007, 37.696676]",DF335F93-DB39-4F6B-9F07-97C6025C1F51
189,2750706348,Ночной велозаезд,2019-09-29T23:29:39Z,Ride,4220.3,1400,4787,31.0,"[55.636076, 37.697118]",1767A3DC-2308-4064-8B6A-40CB6C3798BE
